City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Maniitsoq,GL,65.4167,-52.9,46.56,86,96,14.36,overcast clouds
Vallenar,CL,-28.5708,-70.7581,65.43,59,0,4.36,clear sky
Ferrandina,IT,40.5012,16.4547,80.67,28,0,2.35,clear sky
Tiksi,RU,71.6872,128.8694,40.96,83,88,9.66,overcast clouds
Huanren,CN,41.2647,125.3667,65.3,98,88,2.39,overcast clouds
Vila,PT,42.0304,-8.1588,63.48,68,45,1.45,scattered clouds
Shache,CN,38.4167,77.2406,79.16,15,0,6.2,clear sky
Cape Coast,GH,5.1053,-1.2466,74.28,79,39,10.49,scattered clouds
Mount Isa,AU,-20.7333,139.5,46.17,46,0,6.91,clear sky
Lorengau,PG,-2.0226,147.2712,81.34,77,89,8.55,overcast clouds
Fort Wellington,GY,6.4,-57.6,81.64,75,34,9.15,scattered clouds
Tchollire,CM,8.4022,14.1698,72.84,91,100,2.84,light rain
Zhongshan,CN,21.3226,110.5829,82.06,79,6,6.78,clear sky
Tabou,CI,4.423,-7.3528,75.43,76,100,7.7,overcast clouds
Evensk,RU,61.95,159.2333,61.45,48,1,6.15,clear sky
Coolum Beach,AU,-26.5333,153.1,63.1,96,100,17.63,light rain
Lodja,CD,-3.4833,23.4333,75.76,65,100,0.81,overcast clouds
Nathdwara,IN,24.9333,73.8167,77.34,85,99,9.8,overcast clouds
Tuy Hoa,VN,13.0833,109.3,75.04,91,88,4.74,overcast clouds
Cangzhou,CN,38.3167,116.8667,77.67,66,17,4.09,few clouds
Atherton,GB,53.5237,-2.4935,63.28,84,99,1.01,overcast clouds
Talnakh,RU,69.4865,88.3972,51.21,85,12,6.22,few clouds
Mahebourg,MU,-20.4081,57.7,69.26,66,88,17.36,overcast clouds
Maarianhamina,AX,60.0973,19.9348,66.06,88,87,8.05,overcast clouds
Moussoro,TD,13.6408,16.4901,87.35,56,50,1.61,scattered clouds
Oistins,BB,13.0667,-59.5333,84.29,74,20,21.85,few clouds
Minnedosa,CA,50.2453,-99.8436,72.63,65,41,14.52,scattered clouds
Imeni Poliny Osipenko,RU,52.4201,136.4853,54.52,93,100,10.38,overcast clouds
Tabat,ID,-2.635,115.2274,73.76,94,100,0.34,moderate rain
Lazurne,UA,46.084,32.5295,71.44,72,1,15.68,clear sky
Duldurga,RU,50.6761,113.5931,61.16,89,44,0.72,scattered clouds
Narsaq,GL,60.9167,-46.05,61.02,77,14,7.43,few clouds
Ormara,PK,25.2088,64.6357,83.61,84,99,14.85,overcast clouds
Lebork,PL,54.5392,17.7501,72.95,88,45,5.82,scattered clouds
Namibe,AO,-15.1961,12.1522,63.09,88,31,1.95,scattered clouds
Cabedelo,BR,-6.9811,-34.8339,75.87,84,99,10.45,light rain
Bilma,NE,18.6853,12.9164,94.53,26,94,6.38,overcast clouds
Akdepe,TM,42.0551,59.3788,91.65,21,1,9.13,clear sky
Wum,CM,6.3833,10.0667,64.51,98,100,1.36,light rain
Geraldton,AU,-28.7667,114.6,54.01,87,100,8.05,overcast clouds
Coihaique,CL,-45.5752,-72.0662,33.75,75,75,6.91,broken clouds
Bloomfield,US,40.8068,-74.1854,98.26,43,0,19.57,clear sky
Caravelas,BR,-17.7125,-39.2481,70.92,82,2,5.53,clear sky
Mwinilunga,ZM,-11.7358,24.4293,61.25,52,35,4.47,scattered clouds
Rio Gallegos,AR,-51.6226,-69.2181,33.85,69,0,23.02,clear sky
Maumere,ID,-8.6199,122.2111,77.59,79,89,9.82,overcast clouds
Ajaccio,FR,42.0,8.9167,75.25,69,0,3.44,clear sky
Bitung,ID,1.4451,125.1824,72.45,87,81,9.44,broken clouds
Bereda,ES,43.2686,-7.5406,66.42,100,88,6.2,overcast clouds
Katsuura,JP,35.1333,140.3,78.55,90,51,14.52,broken clouds
Matamoros,MX,25.5333,-103.25,102.31,15,75,5.75,broken clouds
Areka,ET,7.0667,37.7,60.22,91,80,1.9,light rain
Mazagao,BR,-0.115,-51.2894,82.45,76,78,3.4,broken clouds
Lata,PT,40.1629,-8.3327,61.56,89,44,2.68,scattered clouds
Weinan,CN,34.5036,109.5089,68.38,92,100,19.69,overcast clouds
Singaparna,ID,-7.3515,108.111,70.72,98,98,2.42,overcast clouds
Ixtapa,MX,20.7,-105.2,91.22,74,20,10.36,few clouds
Bud,US,39.447,-86.1758,92.41,47,0,7.65,clear sky
Chortomlyk,UA,47.6232,34.142,68.5,61,1,9.95,clear sky
Korla,CN,41.7597,86.1469,75.94,32,0,2.53,clear sky
Myaundzha,RU,63.0494,147.1858,54.48,71,81,3.11,broken clouds
Dehloran,IR,32.6941,47.2679,100.53,8,0,8.99,clear sky
Strezhevoy,RU,60.7333,77.5889,55.51,94,100,4.7,moderate rain
Airai,TL,-8.9266,125.4092,54.61,92,96,4.0,overcast clouds
Boca Do Acre,BR,-8.7522,-67.3978,93.36,34,6,0.29,clear sky
Karpogory,RU,64.0019,44.4451,57.34,83,3,5.03,clear sky
Mayo,US,38.8876,-76.5119,95.95,68,40,9.22,scattered clouds
Hengshui,CN,37.7322,115.7011,75.11,71,59,4.52,broken clouds
Bissau,GW,11.8636,-15.5977,78.62,85,96,10.71,light rain
Salinopolis,BR,-0.6136,-47.3561,79.34,83,86,7.25,overcast clouds
Avera,US,33.194,-82.5271,89.38,53,100,11.52,overcast clouds
Tilichiki,RU,60.4667,166.1,58.37,50,0,7.07,clear sky
Sidi Ali,DZ,36.0998,0.4206,76.91,71,0,6.49,clear sky
Dikson,RU,73.5069,80.5464,42.85,95,100,18.3,light rain
Hamilton,US,39.1834,-84.5333,91.74,49,40,12.66,scattered clouds
Christchurch,NZ,-43.5333,172.6333,42.33,81,100,4.61,overcast clouds
Ostersund,SE,63.1792,14.6357,55.85,82,75,8.05,broken clouds
Nueva Loja,EC,0.0847,-76.8828,80.62,78,75,3.44,broken clouds
Nhulunbuy,AU,-12.2333,136.7667,65.01,68,14,6.91,few clouds
Verkhovye,RU,52.8119,37.2425,54.72,97,92,11.25,overcast clouds
Turinsk,RU,58.0458,63.696,52.83,96,21,5.5,few clouds
Nosy Varika,MG,-20.5833,48.5333,64.92,83,64,3.31,light rain
Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,33,0,18.41,clear sky
Port Macquarie,AU,-31.4333,152.9167,57.88,81,99,10.92,light rain
Mitu,CO,1.1983,-70.1733,76.23,96,98,2.82,overcast clouds
Padang,ID,-0.9492,100.3543,76.86,87,87,3.67,overcast clouds
Goderich,CA,43.7501,-81.7165,79.92,63,0,8.48,clear sky
Sembabule,UG,-0.0772,31.4567,63.25,71,59,2.1,broken clouds
Biloela,AU,-24.4167,150.5,55.76,96,53,4.72,heavy intensity rain
Touros,BR,-5.1989,-35.4608,77.05,80,100,10.18,overcast clouds
Kailua,US,21.4022,-157.7394,85.98,73,100,16.11,overcast clouds
Chabahar,IR,25.2919,60.643,83.26,80,97,9.71,overcast clouds
Shyryayeve,UA,47.3805,30.1964,69.12,49,3,11.23,clear sky
Iquitos,PE,-3.7481,-73.2472,78.84,78,40,4.61,scattered clouds
Sorland,NO,67.667,12.6934,51.66,92,100,20.02,overcast clouds
Broken Hill,AU,-31.95,141.4333,45.36,88,44,11.27,scattered clouds
Alyangula,AU,-13.8483,136.4192,67.06,66,86,13.22,overcast clouds
Robertsport,LR,6.7533,-11.3686,77.74,78,100,15.9,overcast clouds
Kokkola,FI,63.8385,23.1307,68.16,85,0,4.61,clear sky
Hervey Bay,AU,-25.2986,152.8535,63.61,89,99,23.24,overcast clouds
Adrar,MR,20.5022,-10.0711,94.48,29,87,2.84,overcast clouds
Matongo,TZ,-2.3833,34.0833,72.43,38,100,6.98,overcast clouds
Llanes,ES,43.4198,-4.7549,69.71,88,98,6.08,overcast clouds
Aklavik,CA,68.2191,-135.0107,68.29,51,26,9.24,scattered clouds
Tucumcari,US,35.1717,-103.725,95.94,24,0,2.84,clear sky
Lishu,CN,43.3047,124.3278,67.23,93,85,5.64,overcast clouds
Aloleng,PH,16.1307,119.7824,81.91,76,99,8.95,overcast clouds
Ahipara,NZ,-35.1667,173.1667,55.27,84,87,7.58,overcast clouds
Cuyo,PH,10.8525,121.0086,84.15,75,100,2.42,overcast clouds
Loei,TH,17.4167,101.5,64.38,99,100,1.39,light rain
Mombasa,KE,-4.0547,39.6636,73.0,83,6,15.52,light rain
Upernavik,GL,72.7868,-56.1549,45.73,96,100,18.52,overcast clouds
Gorontalo,ID,0.5412,123.0595,73.72,94,19,2.19,few clouds
Bilibino,RU,68.0546,166.4372,43.05,63,97,4.14,overcast clouds
Skjervoy,NO,70.0311,20.9714,53.6,90,100,5.19,overcast clouds
Abu Samrah,SY,35.3029,37.1841,75.78,57,0,11.12,clear sky
Monrovia,LR,6.3005,-10.7969,76.98,76,100,13.18,overcast clouds
Challakere,IN,14.3167,76.65,73.74,83,99,12.68,light rain
Hofn,IS,64.2539,-15.2082,50.56,90,33,1.74,scattered clouds
Ouallam,NE,14.3188,2.0866,89.02,46,97,8.25,overcast clouds
Along,IN,28.1667,94.7667,74.44,99,100,1.97,moderate rain
Udachnyy,RU,66.4167,112.4,48.45,100,100,1.7,overcast clouds
Port Augusta,AU,-32.5,137.7667,49.75,86,100,6.4,overcast clouds
Takoradi,GH,4.8845,-1.7554,74.08,75,69,7.4,broken clouds
Dalianwan,CN,39.0286,121.695,75.24,83,40,6.71,scattered clouds
Nador,MA,35.174,-2.9287,79.05,83,20,2.3,few clouds
Ciudad Guayana,VE,8.3533,-62.6528,75.52,97,35,7.2,scattered clouds
Harper,LR,4.375,-7.7169,75.45,76,100,8.68,overcast clouds
Stokmarknes,NO,68.5646,14.9108,55.38,82,100,9.22,overcast clouds
Haines Junction,CA,60.7522,-137.5108,53.46,69,100,5.75,light rain
Kudahuvadhoo,MV,2.6708,72.8944,82.11,73,100,15.61,overcast clouds
Mustasaari,FI,63.1142,21.6822,68.23,77,0,8.05,clear sky
Kautokeino,NO,69.0125,23.0412,52.92,91,97,10.49,overcast clouds
Bouna,CI,9.2667,-3.0,77.83,60,55,4.54,broken clouds
Bubaque,GW,11.2833,-15.8333,78.8,86,100,16.73,light rain
Manicore,BR,-5.8092,-61.3003,88.12,50,92,1.32,overcast clouds
Nanakuli,US,21.3906,-158.1547,85.95,54,75,13.8,broken clouds
Salinas,US,36.6777,-121.6555,97.56,64,0,16.11,clear sky
Kurri Kurri,AU,-32.8167,151.4833,61.41,96,100,2.86,overcast clouds
Ginda,IN,30.6945,78.4932,65.55,91,100,1.97,overcast clouds
Kutum,SD,14.2,24.6667,74.55,59,95,7.2,overcast clouds
Commerce,US,34.0006,-118.1598,100.4,46,0,11.5,clear sky
Emba,KZ,48.8264,58.1442,74.77,35,100,13.38,overcast clouds
Nantucket,US,41.2835,-70.0995,82.51,90,100,13.8,mist
Santa Rosalia,MX,27.3167,-112.2833,93.67,37,0,3.11,clear sky
Oksfjord,NO,70.2396,22.3479,55.47,91,100,6.08,overcast clouds
Elliot,ZA,-31.3333,27.85,44.78,69,20,4.14,few clouds
Lakatoro,VU,-16.0999,167.4164,79.9,82,25,13.0,scattered clouds
Sayyan,YE,15.1718,44.3244,65.82,60,84,1.83,broken clouds
Yumen,CN,40.2833,97.2,67.84,26,0,8.52,clear sky
Ust-Charyshskaya Pristan,RU,52.3934,83.6635,62.38,90,100,13.27,moderate rain
Meadow Lake,US,34.8014,-106.5436,98.33,23,70,5.93,broken clouds
Jasper,US,37.2001,-94.3502,105.12,17,0,3.44,clear sky
Concordia,AR,-31.393,-58.0209,67.78,79,87,11.01,light rain
Juneau,US,58.3019,-134.4197,59.22,97,100,8.05,light rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,83,8,9.93,clear sky
Hit,IQ,33.6416,42.8251,94.06,15,0,10.78,clear sky
Redlands,US,34.0556,-117.1825,106.56,21,75,8.05,broken clouds
Yar,RU,58.249,52.1026,55.2,92,6,3.4,clear sky
Icatu,BR,-2.7758,-44.0658,84.63,73,47,7.09,scattered clouds
Lazaro Cardenas,MX,17.9583,-102.2,88.3,66,36,9.93,scattered clouds
Tahta,EG,26.7693,31.5021,86.81,20,0,8.72,clear sky
Kathu,TH,7.9178,98.3332,85.75,86,100,4.61,overcast clouds
Krasnoselkup,RU,65.7,82.4667,49.98,82,78,5.03,broken clouds
Ucluelet,CA,48.9329,-125.5528,61.09,87,100,1.01,overcast clouds
Capinzal,BR,-27.3436,-51.6119,67.21,86,27,0.51,scattered clouds
Ponta Delgada,PT,37.7333,-25.6667,76.5,83,75,5.75,broken clouds
Fernley,US,39.608,-119.2518,99.57,7,0,4.72,clear sky
Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.25,28,31,3.2,scattered clouds
San Carlos,VE,9.6612,-68.5827,80.76,82,60,1.79,broken clouds
Natal,BR,-5.795,-35.2094,74.05,100,75,8.05,mist
Russell,US,32.3502,-85.1999,88.75,66,0,0.0,clear sky
Nebolchi,RU,59.1239,33.3454,56.03,85,3,2.86,clear sky
Skegness,GB,53.1436,0.3363,63.05,80,97,7.25,overcast clouds
Aksarka,RU,66.5606,67.7975,43.75,79,50,4.94,scattered clouds
Saint-Augustin,CA,51.226,-58.6502,74.88,43,83,6.02,broken clouds
Porto Nacional,BR,-10.7081,-48.4172,87.8,31,0,3.58,clear sky
Fort Nelson,CA,58.8053,-122.7002,68.29,34,80,12.71,broken clouds
Torbat-E Jam,IR,35.244,60.6225,83.34,12,0,14.38,clear sky
Shahrud,IR,36.4182,54.9763,77.09,45,0,5.1,clear sky
Ilorin,NG,8.5,4.55,73.17,85,38,5.21,light rain
Raudeberg,NO,61.9875,5.1352,52.47,84,78,10.0,broken clouds
Tete,MZ,-16.1564,33.5867,75.29,53,75,5.75,broken clouds
Siva,EG,29.2041,25.5195,86.59,26,0,8.95,clear sky
Sargatskoye,RU,55.6101,73.4972,57.07,98,76,10.76,broken clouds
Hasaki,JP,35.7333,140.8333,79.29,92,100,17.4,overcast clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,57.24,78,100,3.89,light rain
Conde,BR,-7.2597,-34.9075,74.66,88,75,6.91,broken clouds
Amahai,ID,-3.3333,128.9167,75.43,80,78,5.84,broken clouds
Los Andes,CL,-32.8337,-70.5983,64.22,43,0,2.73,clear sky
Asau,RO,46.4333,26.4,65.32,43,0,5.7,clear sky
Hastings,GB,50.8552,0.5729,65.79,81,72,16.84,broken clouds
Magdagachi,RU,53.45,125.8,63.88,78,76,2.77,broken clouds
Seydi,TM,39.4816,62.9137,91.92,12,0,12.12,clear sky
Aquin,HT,18.2833,-73.4,85.73,68,54,5.93,broken clouds
Roebourne,AU,-20.7833,117.1333,68.61,85,0,7.76,clear sky
Carballo,ES,43.213,-8.691,69.22,91,99,10.6,overcast clouds
Dalbandin,PK,28.8947,64.4101,89.96,49,22,7.9,few clouds
Lagoa,PT,39.05,-27.9833,72.54,87,93,5.06,overcast clouds
Yima,CN,34.7381,111.8839,74.53,73,100,5.17,light rain
Koutsouras,GR,35.0339,25.9469,79.11,47,0,10.51,clear sky
Barkot,IN,30.8167,78.2,70.03,94,96,2.28,overcast clouds
Melhus,NO,63.2855,10.2781,55.06,86,100,0.51,overcast clouds
Paralimni,CY,35.0375,33.9833,84.11,69,0,8.01,clear sky
Paamiut,GL,61.994,-49.6678,45.43,89,8,7.09,clear sky
Astana,KZ,51.1801,71.446,62.55,55,0,4.47,clear sky
Yantal,RU,56.8471,105.2542,53.91,87,97,2.93,overcast clouds
Shingu,JP,33.7333,135.9833,78.98,89,5,3.71,clear sky
Coari,BR,-4.085,-63.1414,79.16,84,85,2.62,overcast clouds
Kiruna,SE,67.8557,20.2251,50.92,87,100,3.44,overcast clouds
Mancora,PE,-4.1078,-81.0475,75.69,60,14,5.86,few clouds
Abdulino,RU,53.7,53.6667,60.49,74,91,5.53,overcast clouds
Ferrol,ES,43.4832,-8.2369,68.23,90,87,15.77,overcast clouds
Tanete,ID,-3.9443,119.7848,73.31,97,98,5.68,overcast clouds
Sulangan,PH,11.1373,123.7228,83.7,77,100,11.21,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,88.57,70,20,20.71,few clouds
Hokota,JP,36.15,140.5167,79.29,100,75,10.36,broken clouds
Nemea,GR,37.8167,22.6667,74.23,34,0,3.51,clear sky
Winnemucca,US,40.973,-117.7357,98.65,6,0,3.44,clear sky
Sao Filipe,CV,14.8961,-24.4956,75.33,85,95,7.58,overcast clouds
Utinga,BR,-5.8172,-35.3954,75.6,100,75,8.05,light rain
Manzhouli,CN,49.6,117.4333,67.41,73,70,1.86,broken clouds
Sambava,MG,-14.2667,50.1667,68.23,86,54,11.86,light rain
Goundam,ML,16.4145,-3.6708,93.25,39,17,6.42,few clouds
Weatherford,US,32.7593,-97.7972,103.68,37,100,5.01,overcast clouds
Yerbogachen,RU,61.2767,108.0108,59.86,78,100,3.11,overcast clouds
Kerema,PG,-7.9631,145.7785,76.23,91,39,5.23,scattered clouds
Clemencia,CO,10.5665,-75.325,83.57,82,89,10.16,overcast clouds
Sovetskoye,RU,52.2861,85.4131,57.76,91,100,3.38,light rain
Kununurra,AU,-15.7667,128.7333,55.38,88,7,4.61,clear sky
Panama City,PA,8.9936,-79.5197,82.35,91,40,6.91,scattered clouds
Caraballeda,VE,10.6112,-66.8522,86.07,70,20,5.75,few clouds
Luanda,AO,-8.8368,13.2343,67.26,89,39,8.7,scattered clouds
Narrabri,AU,-30.3167,149.7833,50.52,84,77,5.01,broken clouds
Palmer,US,42.1584,-72.3287,89.78,61,20,14.97,few clouds
Kokopo,PG,-4.352,152.2633,77.83,79,74,1.45,broken clouds
Cap Malheureux,MU,-19.9842,57.6142,70.47,72,98,7.0,overcast clouds
Tommot,RU,58.9564,126.2925,63.75,90,55,0.6,broken clouds
Chincha Alta,PE,-13.4099,-76.1323,63.19,71,8,6.98,clear sky
Escanaba,US,45.7453,-87.0646,85.95,41,0,9.22,clear sky
Rehoboth,NA,-23.3167,17.0833,53.8,33,0,6.31,clear sky
Janakkala,FI,60.9,24.6,61.93,81,74,5.35,broken clouds
Shenjiamen,CN,29.9576,122.298,77.94,92,53,6.42,broken clouds
Byron Bay,AU,-28.65,153.6167,59.94,80,100,18.97,moderate rain
Surany,SK,48.0861,18.1845,82.94,35,67,4.68,broken clouds
Honiara,SB,-9.4333,159.95,79.25,73,45,3.31,scattered clouds
Taltal,CL,-25.4,-70.4833,60.28,80,9,5.01,clear sky
Saryg-Sep,RU,51.5,95.6,55.04,50,100,4.12,overcast clouds
Te Anau,NZ,-45.4167,167.7167,35.53,94,56,0.96,broken clouds
Concord,US,37.978,-122.0311,97.29,32,0,12.66,clear sky
Muzhi,RU,65.3667,64.6667,47.44,61,4,11.25,clear sky
Konstantinovka,RU,49.6167,127.9833,64.42,94,61,3.18,broken clouds
Gimli,CA,50.6336,-96.9907,76.1,59,23,15.21,few clouds
Glasgow,GB,55.8652,-4.2576,63.19,76,98,12.66,overcast clouds
Pando,UY,-34.7167,-55.95,52.9,87,0,11.5,clear sky
Yar-Sale,RU,66.8333,70.8333,45.1,77,100,11.83,overcast clouds
Sudbury,CA,46.49,-80.99,80.06,50,41,5.01,scattered clouds
Kankakee,US,41.15,-87.8667,92.14,62,0,13.76,clear sky
San Antonio,US,29.4241,-98.4936,104.05,34,20,14.97,few clouds
Pisco,PE,-13.7,-76.2167,64.45,68,20,14.97,few clouds
Bandiagara,ML,14.3501,-3.6104,85.89,53,100,11.45,overcast clouds
Murgab,TM,37.4966,61.9714,85.87,28,0,4.61,clear sky
Praya,CV,14.9215,-23.5087,79.34,73,40,5.75,scattered clouds
Labuhan,ID,-6.8844,112.2051,75.24,84,94,9.4,overcast clouds
Wentzville,US,38.8114,-90.8529,100.15,39,0,4.0,clear sky
Poso,ID,-1.3959,120.7524,75.69,88,38,6.49,scattered clouds
Trofors,NO,65.5333,13.4063,53.47,85,100,4.59,overcast clouds
Barra,BR,-11.0894,-43.1417,78.04,41,28,4.16,scattered clouds
Blagoyevo,RU,63.3667,47.9167,61.0,72,11,5.19,few clouds
Nikki,BJ,9.9401,3.2108,72.64,89,92,2.59,overcast clouds
Chimbote,PE,-9.0853,-78.5783,65.95,74,81,11.9,broken clouds
Waipawa,NZ,-41.4122,175.5153,44.94,74,100,14.03,overcast clouds
Nargana,PA,9.4428,-78.5906,77.22,90,100,6.91,overcast clouds
Kencong,ID,-8.2833,113.3667,71.65,91,95,2.53,overcast clouds
Calabozo,VE,8.9242,-67.4293,84.76,68,41,0.78,scattered clouds
Ketchikan,US,55.3422,-131.6461,63.07,67,100,9.22,overcast clouds
Mumford,GH,5.2618,-0.759,74.1,80,34,10.45,scattered clouds
Tsaratanana,MG,-16.7833,47.65,63.3,72,0,13.58,clear sky
Pyapon,MM,16.2833,95.6833,76.19,93,100,14.34,overcast clouds
Dhekiajuli,IN,26.7,92.5,77.77,95,100,5.1,overcast clouds
Grindavik,IS,63.8424,-22.4338,53.55,93,100,5.75,overcast clouds
Shimoda,JP,34.6667,138.95,81.1,88,7,6.89,clear sky
Nago,JP,26.5881,127.9761,84.63,88,16,11.05,few clouds
Pilar,BR,-9.5972,-35.9567,76.93,90,92,4.0,overcast clouds
Henties Bay,NA,-22.116,14.2845,58.75,69,0,5.48,clear sky
Tutoia,BR,-2.7619,-42.2744,78.46,77,74,6.13,broken clouds
Nome,US,64.5011,-165.4064,46.47,81,100,13.8,light rain
Batemans Bay,AU,-35.7167,150.1833,52.11,87,85,3.15,overcast clouds
Manavalakurichi,IN,8.1333,77.3,77.77,86,100,14.76,overcast clouds
Manakara,MG,-22.1333,48.0167,63.86,85,44,4.18,light rain
Bardsir,IR,29.9227,56.5743,74.91,16,2,2.13,clear sky
Oussouye,SN,12.485,-16.5469,78.48,87,100,2.06,moderate rain
Tauranga,NZ,-37.6861,176.1667,50.86,85,96,5.23,overcast clouds
Senanga,ZM,-16.1167,23.2667,64.11,43,58,6.82,broken clouds
Stabat,ID,3.761,98.4513,77.2,99,97,3.91,overcast clouds
Hvide Sande,DK,56.0045,8.1294,60.1,85,100,23.06,overcast clouds
Alice Springs,AU,-23.7,133.8833,33.35,69,0,0.0,clear sky
Caapucu,PY,-26.2167,-57.2,73.71,62,100,6.51,overcast clouds
Loa Janan,ID,-0.583,117.095,72.88,99,87,0.92,overcast clouds
Pochutla,MX,15.7432,-96.4661,89.42,67,100,4.99,overcast clouds
Orbetello,IT,42.4408,11.2196,80.6,32,0,2.3,clear sky
Torres,BR,-29.3353,-49.7269,74.82,85,76,1.5,broken clouds
Turayf,SA,31.6725,38.6637,82.65,36,0,9.22,clear sky
Normandin,CA,48.8333,-72.5321,79.11,83,59,4.61,broken clouds
Bezhetsk,RU,57.7851,36.6965,55.27,89,0,7.31,clear sky
Pailitas,CO,8.9565,-73.6255,88.39,71,90,2.59,overcast clouds
Morro Bay,US,35.3658,-120.8499,105.93,57,44,8.99,scattered clouds
Atambua,ID,-9.1061,124.8925,68.72,89,94,6.49,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,82.22,83,23,20.56,few clouds
Slave Lake,CA,55.2834,-114.769,71.58,49,75,17.27,broken clouds
Rohnert Park,US,38.3396,-122.7011,101.98,38,0,10.36,clear sky
Cherskiy,RU,68.75,161.3,42.82,58,98,11.12,overcast clouds
Birao,CF,10.2849,22.7882,70.25,90,97,13.58,light rain
Zhaoyang,CN,42.682,126.0305,65.25,96,100,0.85,overcast clouds
Tuburan,PH,6.6439,122.2736,77.09,77,100,2.26,light rain
Leninskoye,KZ,41.7589,69.3864,80.74,16,0,4.92,clear sky
Zhuanghe,CN,39.7008,122.9911,70.23,89,45,3.51,scattered clouds
Santa Cruz,BO,-17.8,-63.1667,82.45,51,75,18.41,broken clouds
Kaoma,ZM,-14.7833,24.8,60.3,50,41,7.0,scattered clouds
Alofi,NU,-19.0595,-169.9187,78.69,69,40,8.05,scattered clouds
Zhengjiatun,CN,43.5064,123.5064,68.14,90,67,6.53,broken clouds
Kota Kinabalu,MY,5.9749,116.0724,76.98,88,20,5.99,few clouds
Chara,RU,56.9064,118.2631,62.6,87,100,0.92,overcast clouds
Nalut,LY,30.3333,10.85,85.71,19,0,9.86,clear sky
Banda Aceh,ID,5.5577,95.3222,80.02,77,100,11.5,overcast clouds
Taoudenni,ML,22.6783,-3.9836,92.93,35,67,15.66,light rain
San Carlos De Bariloche,AR,-41.1456,-71.3082,34.25,74,75,17.27,light snow
Cerro Largo,BR,-28.1486,-54.7381,71.13,76,86,4.07,overcast clouds
Cap-Aux-Meules,CA,47.3821,-61.8597,73.45,64,40,11.5,scattered clouds
Nipawin,CA,53.3668,-104.0009,75.24,41,0,19.57,clear sky
Hami,CN,42.8,93.45,73.4,26,0,2.04,clear sky
Ewo,CG,-0.8725,14.8206,77.77,68,68,4.25,broken clouds
San Roque,ES,36.2107,-5.3842,72.43,88,20,11.5,mist
Manguito,CU,22.5881,-80.9144,92.07,44,37,6.76,scattered clouds
Deputatskiy,RU,69.3,139.9,44.26,75,8,6.06,clear sky
Antsohihy,MG,-14.8796,47.9875,69.19,61,0,10.83,clear sky
Laiwu,CN,36.1928,117.6569,71.98,81,34,1.88,scattered clouds
Tezu,IN,27.9167,96.1667,76.21,96,100,2.44,heavy intensity rain
Galveston,US,29.3669,-94.9669,100.09,66,0,13.8,clear sky
